symbol,date,chg_9am_pct,config,entry_time_ET,entry_px,exit_time_ET,exit_px,exit_reason,pnl_pct,pnl_usd,mfe_pct,mae_pct,hold_sec,spread,short_seg_bars
CANF,2026-07-01,51.9,+2%,2026-07-01 09:49:01,5.47,09:49:21,5.5794,TARGET,2.0,1.094,9.324,-12.614,19,0.02,71
CANF,2026-07-01,51.9,+3%,2026-07-01 09:49:01,5.47,09:49:25,5.6341,TARGET,3.0,1.641,9.324,-12.614,23,0.02,71
CANF,2026-07-01,51.9,flip_only,2026-07-01 09:49:01,5.47,10:00:03,4.78,ATR_FLIP,-12.614,-6.9,9.324,-12.614,661,0.02,71
EHGO,2026-07-01,82.3,+2%,2026-07-01 10:22:16,2.23,10:27:08,2.11,ATR_FLIP,-5.381,-1.2,0.897,-5.605,291,0.02,28
EHGO,2026-07-01,82.3,+3%,2026-07-01 10:22:16,2.23,10:27:08,2.11,ATR_FLIP,-5.381,-1.2,0.897,-5.605,291,0.02,28
EHGO,2026-07-01,82.3,flip_only,2026-07-01 10:22:16,2.23,10:27:08,2.11,ATR_FLIP,-5.381,-1.2,0.897,-5.605,291,0.02,28
LHAI,2026-07-01,145.5,+2%,2026-07-01 10:47:53,1.56,10:50:10,1.5912,TARGET,2.0,0.312,11.538,-13.462,136,0.01,28
LHAI,2026-07-01,145.5,+3%,2026-07-01 10:47:53,1.56,10:50:10,1.6068,TARGET,3.0,0.468,11.538,-13.462,136,0.01,28
LHAI,2026-07-01,145.5,flip_only,2026-07-01 10:47:53,1.56,11:14:53,1.47,ATR_FLIP,-5.769,-0.9,11.538,-13.462,1619,0.01,28
EHGO,2026-07-01,82.3,+2%,2026-07-01 10:55:18,2.22,11:03:36,2.13,ATR_FLIP,-4.054,-0.9,1.802,-3.604,498,0.02,27
EHGO,2026-07-01,82.3,+3%,2026-07-01 10:55:18,2.22,11:03:36,2.13,ATR_FLIP,-4.054,-0.9,1.802,-3.604,498,0.02,27
EHGO,2026-07-01,82.3,flip_only,2026-07-01 10:55:18,2.22,11:03:36,2.13,ATR_FLIP,-4.054,-0.9,1.802,-3.604,498,0.02,27
CANF,2026-07-01,51.9,+2%,2026-07-01 11:11:23,4.31,11:11:23,4.3962,TARGET,2.0,0.862,3.248,-6.958,0,0.03,48
CANF,2026-07-01,51.9,+3%,2026-07-01 11:11:23,4.31,11:39:01,4.09,ATR_FLIP,-5.104,-2.2,3.248,-6.958,1658,0.03,48
CANF,2026-07-01,51.9,flip_only,2026-07-01 11:11:23,4.31,11:39:01,4.09,ATR_FLIP,-5.104,-2.2,3.248,-6.958,1658,0.03,48
EHGO,2026-07-01,82.3,+2%,2026-07-01 11:30:11,2.2,11:34:56,2.244,TARGET,2.0,0.44,9.091,-1.359,284,0.01,23
EHGO,2026-07-01,82.3,+3%,2026-07-01 11:30:11,2.2,11:34:56,2.266,TARGET,3.0,0.66,9.091,-1.359,284,0.01,23
EHGO,2026-07-01,82.3,flip_only,2026-07-01 11:30:11,2.2,11:55:23,2.19,ATR_FLIP,-0.455,-0.1,9.091,-1.359,1511,0.01,23
LHAI,2026-07-01,145.5,+2%,2026-07-01 11:42:03,1.57,11:58:09,1.6014,TARGET,2.0,0.314,8.28,-6.369,966,0.01,32
LHAI,2026-07-01,145.5,+3%,2026-07-01 11:42:03,1.57,12:02:43,1.6171,TARGET,3.0,0.471,8.28,-6.369,1239,0.01,32
LHAI,2026-07-01,145.5,flip_only,2026-07-01 11:42:03,1.57,12:31:34,1.49,ATR_FLIP,-5.096,-0.8,8.28,-6.369,2971,0.01,32
EHGO,2026-07-01,82.3,+2%,2026-07-01 12:18:56,2.34,12:37:07,2.22,ATR_FLIP,-5.128,-1.2,2.137,-5.983,1090,0.02,43
EHGO,2026-07-01,82.3,+3%,2026-07-01 12:18:56,2.34,12:37:07,2.22,ATR_FLIP,-5.128,-1.2,2.137,-5.983,1090,0.02,43
EHGO,2026-07-01,82.3,flip_only,2026-07-01 12:18:56,2.34,12:37:07,2.22,ATR_FLIP,-5.128,-1.2,2.137,-5.983,1090,0.02,43
CANF,2026-07-01,51.9,+2%,2026-07-01 12:27:27,4.11,12:36:00,4.1922,TARGET,2.0,0.822,6.083,-0.243,512,0.02,16
CANF,2026-07-01,51.9,+3%,2026-07-01 12:27:27,4.11,12:36:07,4.2333,TARGET,3.0,1.233,6.083,-0.243,519,0.02,16
CANF,2026-07-01,51.9,flip_only,2026-07-01 12:27:27,4.11,12:54:43,4.11,ATR_FLIP,0.0,0.0,6.083,-0.243,1636,0.02,16
LHAI,2026-07-01,145.5,+2%,2026-07-01 13:03:16,1.5,13:03:23,1.53,TARGET,2.0,0.3,35.333,-2.667,6,0.01,49
LHAI,2026-07-01,145.5,+3%,2026-07-01 13:03:16,1.5,13:28:21,1.545,TARGET,3.0,0.45,35.333,-2.667,1504,0.01,49
LHAI,2026-07-01,145.5,flip_only,2026-07-01 13:03:16,1.5,14:18:12,1.64,ATR_FLIP,9.333,1.4,35.333,-2.667,4496,0.01,49
CANF,2026-07-01,51.9,+2%,2026-07-01 13:10:54,4.33,13:12:40,4.4166,TARGET,2.0,0.866,3.926,-3.002,106,0.04,58
CANF,2026-07-01,51.9,+3%,2026-07-01 13:10:54,4.33,13:12:52,4.4599,TARGET,3.0,1.299,3.926,-3.002,118,0.04,58
CANF,2026-07-01,51.9,flip_only,2026-07-01 13:10:54,4.33,13:32:44,4.24,ATR_FLIP,-2.079,-0.9,3.926,-3.002,1309,0.04,58
EHGO,2026-07-01,82.3,+2%,2026-07-01 13:20:08,2.3,13:29:07,2.346,TARGET,2.0,0.46,19.13,-0.435,538,0.01,13
EHGO,2026-07-01,82.3,+3%,2026-07-01 13:20:08,2.3,13:31:44,2.369,TARGET,3.0,0.69,19.13,-0.435,695,0.01,13
EHGO,2026-07-01,82.3,flip_only,2026-07-01 13:20:08,2.3,14:06:42,2.4,ATR_FLIP,4.348,1.0,19.13,-0.435,2793,0.01,13
EHGO,2026-07-01,82.3,+2%,2026-07-01 14:19:19,2.52,14:50:34,2.5704,TARGET,2.0,0.504,13.889,-5.556,1875,0.02,13
EHGO,2026-07-01,82.3,+3%,2026-07-01 14:19:19,2.52,14:56:56,2.5956,TARGET,3.0,0.756,13.889,-5.556,2257,0.02,13
EHGO,2026-07-01,82.3,flip_only,2026-07-01 14:19:19,2.52,15:07:27,2.51,ATR_FLIP,-0.397,-0.1,13.889,-5.556,2888,0.02,13
CANF,2026-07-01,51.9,+2%,2026-07-01 14:30:52,4.37,14:41:09,4.4574,TARGET,2.0,0.874,9.84,-2.746,616,0.03,6
CANF,2026-07-01,51.9,+3%,2026-07-01 14:30:52,4.37,14:41:26,4.5011,TARGET,3.0,1.311,9.84,-2.746,633,0.03,6
CANF,2026-07-01,51.9,flip_only,2026-07-01 14:30:52,4.37,15:53:50,4.43,ATR_FLIP,1.373,0.6,9.84,-2.746,4977,0.03,6
LHAI,2026-07-01,145.5,+2%,2026-07-01 15:07:13,1.77,15:08:17,1.8054,TARGET,2.0,0.354,5.085,-7.91,64,0.01,9
LHAI,2026-07-01,145.5,+3%,2026-07-01 15:07:13,1.77,15:08:31,1.8231,TARGET,3.0,0.531,5.085,-7.91,77,0.01,9
LHAI,2026-07-01,145.5,flip_only,2026-07-01 15:07:13,1.77,15:27:58,1.63,ATR_FLIP,-7.91,-1.4,5.085,-7.91,1245,0.01,9
EHGO,2026-07-01,82.3,+2%,2026-07-01 15:20:58,2.75,15:25:24,2.805,TARGET,2.0,0.55,10.545,-6.909,265,0.02,26
EHGO,2026-07-01,82.3,+3%,2026-07-01 15:20:58,2.75,15:25:45,2.8325,TARGET,3.0,0.825,10.545,-6.909,286,0.02,26
EHGO,2026-07-01,82.3,flip_only,2026-07-01 15:20:58,2.75,15:33:17,2.56,ATR_FLIP,-6.909,-1.9,10.545,-6.909,738,0.02,26
LHAI,2026-07-01,145.5,+2%,2026-07-01 15:36:12,1.77,15:36:23,1.8054,TARGET,2.0,0.354,60.452,-2.26,11,0.01,
LHAI,2026-07-01,145.5,+3%,2026-07-01 15:36:12,1.77,15:36:24,1.8231,TARGET,3.0,0.531,60.452,-2.26,11,0.01,
LHAI,2026-07-01,145.5,flip_only,2026-07-01 15:36:12,1.77,16:00:00,2.73,EOD,54.237,9.6,60.452,-2.26,1427,0.01,
CANF,2026-07-01,51.9,+2%,2026-07-01 15:59:49,4.58,15:59:57,4.6716,TARGET,2.0,0.916,2.62,-0.546,8,0.05,
CANF,2026-07-01,51.9,+3%,2026-07-01 15:59:49,4.58,16:00:00,4.59,EOD,0.218,0.1,2.62,-0.546,10,0.05,
CANF,2026-07-01,51.9,flip_only,2026-07-01 15:59:49,4.58,16:00:00,4.59,EOD,0.218,0.1,2.62,-0.546,10,0.05,
EHGO,2026-07-01,82.3,+2%,2026-07-01 15:59:55,2.62,16:00:00,2.58,EOD,-1.527,-0.4,2.29,-1.527,4,0.02,
EHGO,2026-07-01,82.3,+3%,2026-07-01 15:59:55,2.62,16:00:00,2.58,EOD,-1.527,-0.4,2.29,-1.527,4,0.02,
EHGO,2026-07-01,82.3,flip_only,2026-07-01 15:59:55,2.62,16:00:00,2.58,EOD,-1.527,-0.4,2.29,-1.527,4,0.02,
CWD,2026-07-02,110.8,+2%,2026-07-02 09:16:35,1.42,09:18:03,1.4484,TARGET,2.0,0.284,22.535,-4.93,87,0.0,37
CWD,2026-07-02,110.8,+3%,2026-07-02 09:16:35,1.42,09:18:03,1.4626,TARGET,3.0,0.426,22.535,-4.93,87,0.0,37
CWD,2026-07-02,110.8,flip_only,2026-07-02 09:16:35,1.42,09:31:02,1.35,ATR_FLIP,-4.93,-0.7,22.535,-4.93,866,0.0,37
DSY,2026-07-02,44.7,+2%,2026-07-02 09:34:02,4.45,09:36:22,4.539,TARGET,2.0,0.89,5.169,-8.989,139,0.06,26
DSY,2026-07-02,44.7,+3%,2026-07-02 09:34:02,4.45,09:38:59,4.5835,TARGET,3.0,1.335,5.169,-8.989,296,0.06,26
DSY,2026-07-02,44.7,flip_only,2026-07-02 09:34:02,4.45,10:25:53,4.1,ATR_FLIP,-7.865,-3.5,5.169,-8.989,3110,0.06,26
CETX,2026-07-02,54.8,+2%,2026-07-02 09:38:03,3.58,09:38:28,3.6516,TARGET,2.0,0.716,13.128,-9.218,24,0.04,96
CETX,2026-07-02,54.8,+3%,2026-07-02 09:38:03,3.58,09:38:28,3.6874,TARGET,3.0,1.074,13.128,-9.218,24,0.04,96
CETX,2026-07-02,54.8,flip_only,2026-07-02 09:38:03,3.58,10:26:50,3.35,ATR_FLIP,-6.425,-2.3,13.128,-9.218,2926,0.04,96
CWD,2026-07-02,110.8,+2%,2026-07-02 10:16:04,1.32,10:18:14,1.3464,TARGET,2.0,0.264,3.788,-8.326,129,0.01,26
CWD,2026-07-02,110.8,+3%,2026-07-02 10:16:04,1.32,10:18:16,1.3596,TARGET,3.0,0.396,3.788,-8.326,131,0.01,26
CWD,2026-07-02,110.8,flip_only,2026-07-02 10:16:04,1.32,10:28:13,1.21,ATR_FLIP,-8.333,-1.1,3.788,-8.326,728,0.01,26
DSY,2026-07-02,44.7,+2%,2026-07-02 10:51:24,4.22,10:51:38,4.3044,TARGET,2.0,0.844,16.114,-1.185,14,0.04,4
DSY,2026-07-02,44.7,+3%,2026-07-02 10:51:24,4.22,10:56:19,4.3466,TARGET,3.0,1.266,16.114,-1.185,295,0.04,4
DSY,2026-07-02,44.7,flip_only,2026-07-02 10:51:24,4.22,11:34:23,4.17,ATR_FLIP,-1.185,-0.5,16.114,-1.185,2579,0.04,4
CWD,2026-07-02,110.8,+2%,2026-07-02 10:54:12,1.29,11:10:32,1.18,ATR_FLIP,-8.527,-1.1,2.326,-8.527,979,0.01,33
CWD,2026-07-02,110.8,+3%,2026-07-02 10:54:12,1.29,11:10:32,1.18,ATR_FLIP,-8.527,-1.1,2.326,-8.527,979,0.01,33
CWD,2026-07-02,110.8,flip_only,2026-07-02 10:54:12,1.29,11:10:32,1.18,ATR_FLIP,-8.527,-1.1,2.326,-8.527,979,0.01,33
