Day,Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
2026-06-11,"P3-B(touch,vol>5k)",PPCB,08:19,2.223,08:20,2.223,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-11,"P3-B(touch,vol>5k)",PPCB,13:39,3.0846,13:40,3.208,7,scale+4%,0.8638,4.001,0.8638
2026-06-11,"P3-B(touch,vol>5k)",PPCB,13:39,3.0846,13:40,3.3837,3,floor+9.70%,0.8973,9.697,1.7611
2026-06-11,"P3-B(touch,vol>5k)",PPCB,14:20,3.1406,14:21,3.1406,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-11,"P3-B(touch,vol>5k)",PPCB,16:24,2.4138,16:25,2.3776,10,hard-stop,-0.362,-1.5,-0.362
2026-06-11,P1-MACD Cross,PPCB,09:17,3.15,09:18,3.15,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-11,P1-MACD Cross,PPCB,09:30,3.53,09:31,3.6712,7,scale+4% *AMBIG,0.9884,4.0,0.9884
2026-06-11,P1-MACD Cross,PPCB,09:30,3.53,09:31,4.1369,3,floor+17.19% *AMBIG,1.8207,17.193,2.8091
2026-06-11,P1-MACD Cross,PPCB,10:12,5.7499,10:13,5.9799,7,scale+4% *AMBIG,1.61,4.0,1.61
2026-06-11,P1-MACD Cross,PPCB,10:12,5.7499,10:13,5.9138,3,floor+2.85% *AMBIG,0.4917,2.85,2.1017
2026-06-11,P2-VWAP Breakout,PPCB,07:03,2.7782,07:04,2.8893,7,scale+4%,0.7777,3.999,0.7777
2026-06-11,P2-VWAP Breakout,PPCB,07:03,2.7782,07:04,2.9183,3,floor+5.04%,0.4203,5.043,1.198
2026-06-11,P2-VWAP Breakout,PPCB,08:30,2.48,08:31,2.5792,7,scale+4% *AMBIG,0.6944,4.0,0.6944
2026-06-11,P2-VWAP Breakout,PPCB,08:30,2.48,08:31,2.5428,3,floor+2.53% *AMBIG,0.1884,2.532,0.8828
2026-06-11,P2-VWAP Breakout,PPCB,08:32,2.4595,08:33,2.5579,7,scale+4%,0.6888,4.001,0.6888
2026-06-11,P2-VWAP Breakout,PPCB,08:32,2.4595,08:33,2.5531,3,floor+3.81%,0.2808,3.806,0.9696
