session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,never_touched_plus_1,bar_number,bar_start_ts,bar_close_ts,strategy_bar_available,post_fill_trade_prints,missing_state,close_vs_entry_pct,close_above_entry,traded_above_entry,bar_direction,running_low_pct,volume_ratio_20,macd_histogram,macd_histogram_pct,macd_histogram_direction,stochastic,rsi,dot_consensus,vwap,price_vs_vwap_pct,above_vwap,atr_trailing_stop,atr_stop_vs_price_pct,atr_stop_position
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,True,3,2026-08-31T19:42:00+00:00,2026-08-31T19:43:00+00:00,True,97,,-0.43859649122806044,False,True,down,-1.3157894736842035,0.927553963121559,0.004844768116099807,0.21342590819822937,falling,70.00000000000009,59.297459509725755,2,2.350254319681244,-3.4147078896605843,False,2.2027699067546385,-2.9616781165357486,below
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,True,4,2026-08-31T19:43:00+00:00,2026-08-31T19:44:00+00:00,True,48,,-0.6578947368420907,False,False,down,-1.3157894736842035,0.7806286478491529,0.0038237085899925118,0.16881715629106012,falling,56.25000000000017,57.03409093831278,0,2.3502271117034077,-3.62633514348476,False,2.2027699067546385,-2.747465485446432,below
2026-08-31,holdout,YDDL,2026-08-31T19:40:00+00:00,2026-08-31T19:40:00.885075+00:00,2.28,True,5,2026-08-31T19:44:00+00:00,2026-08-31T19:45:00+00:00,True,86,,0.0,False,True,up,-1.3157894736842035,1.0595189056108518,0.003886746955702172,0.17047135770623562,rising,74.99999999999986,61.75088120870893,3,2.350197856237237,-2.9868913398477415,False,2.2027699067546385,-3.3872847914632187,below
2026-09-01,holdout,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,False,1,2026-09-01T13:03:00+00:00,2026-09-01T13:04:00+00:00,True,1780,,-3.427719821162434,False,True,down,-4.3219076005961305,1.9393301493987418,0.050137839093098255,0.7737320847700347,falling,52.63157894736852,50.14681694729854,0,7.119244775779139,-8.979109384663332,False,6.091118778738225,-6.001253414533569,below
2026-09-01,holdout,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,False,2,2026-09-01T13:04:00+00:00,2026-09-01T13:05:00+00:00,True,745,,-1.6393442622950838,False,False,up,-4.3219076005961305,1.05656753511107,0.04663654920294377,0.7066143818627845,falling,73.21428571428564,54.30720577716734,2,7.114791446995382,-7.2355100051847865,False,6.091118778738225,-7.710321534269315,below
2026-09-01,holdout,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,False,3,2026-09-01T13:05:00+00:00,2026-09-01T13:06:00+00:00,True,399,,-2.064083457526078,False,False,down,-4.3219076005961305,0.4483295156237401,0.04044692530254241,0.6154899992778271,falling,64.30000000000007,53.17226170717405,2,7.113008147189638,-7.612927413890125,False,6.091118778738225,-7.310069561923083,below
2026-09-01,holdout,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,False,4,2026-09-01T13:06:00+00:00,2026-09-01T13:07:00+00:00,True,2068,,0.8897168405365141,True,True,up,-4.3219076005961305,2.1609455786427376,0.04727205370205714,0.6982887528554758,rising,87.43750000000006,59.50967131327348,3,7.10596987750281,-4.732216478533424,False,6.091118778738225,-10.023800482470058,below
2026-09-01,holdout,BIAF,2026-09-01T13:03:00+00:00,2026-09-01T13:03:00.041311+00:00,6.71,False,5,2026-09-01T13:07:00+00:00,2026-09-01T13:08:00+00:00,True,2566,,2.8315946348733245,True,True,up,-4.3219076005961305,2.385748320533299,0.05745583025105507,0.8326931920442763,rising,99.99999999999999,63.050036472893765,3,7.100239811692837,-2.8201837825685416,False,6.186800713416941,-10.336221544682012,below
2026-09-01,holdout,BIAF,2026-09-01T15:32:00+00:00,2026-09-01T15:32:00.033934+00:00,6.6,False,1,2026-09-01T15:32:00+00:00,2026-09-01T15:33:00+00:00,True,333,,-1.0606060606060508,False,False,down,-1.5151515151515138,1.4923929111232914,0.026577351358613513,0.40700384928964034,falling,79.41176470588252,59.27324542975467,3,7.200810472168138,-9.315763479137363,False,6.2328861194792005,-4.54998285636753,below
2026-09-01,holdout,BIAF,2026-09-01T15:32:00+00:00,2026-09-01T15:32:00.033934+00:00,6.6,False,2,2026-09-01T15:33:00+00:00,2026-09-01T15:34:00+00:00,True,2474,,2.0515151515151597,True,True,up,-1.5151515151515138,5.726321133297877,0.03665817431380748,0.5442612809010227,rising,87.64818355640544,70.51361271506171,3,7.197090539508794,-6.414960836942651,False,6.260551116466689,-7.050047265690395,below
2026-09-01,holdout,BIAF,2026-09-01T15:32:00+00:00,2026-09-01T15:32:00.033934+00:00,6.6,False,3,2026-09-01T15:34:00+00:00,2026-09-01T15:35:00+00:00,True,1054,,0.7590909090909204,True,True,down,-1.5151515151515138,2.6008836132329067,0.0354672430455846,0.5333339806256236,falling,69.40816326530619,62.766150482412655,2,7.195205541435877,-7.575955103668875,False,6.260551116466689,-5.857789860803764,below
